DRUG_NAME,STRUCT_ID,TARGET_NAME,TARGET_CLASS,ACCESSION,GENE,SWISSPROT,ACT_VALUE,ACT_UNIT,ACT_TYPE,ACT_COMMENT,ACT_SOURCE,RELATION,MOA,MOA_SOURCE,ACT_SOURCE_URL,MOA_SOURCE_URL,ACTION_TYPE,TDL,ORGANISM
astemizole,249,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,9.0458,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
sertindole,2435,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,8.57,,IC50,Inhibition of human cloned ERG expressed in CHO cells assessed as inhibition of potassium channel current by automated patch clamp assay,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL12713,,,Tclin,Homo sapiens
benperidol,312,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,8.47,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
dofetilide,942,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,8.19,,Ki,Displacement of [3H]dofetilide from hERG expressed in HEK293 cells by SPA,CHEMBL,=,1.0,CHEMBL,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL473,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL473,BLOCKER,Tclin,Homo sapiens
cisapride,660,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,8.19,,IC50,Inhibition of human ERG in MCF7 cells,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1729,,,Tclin,Homo sapiens
ibutilide,1412,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,8.0,,IC50,Inhibition of human Potassium channel HERG expressed in mammalian cells,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL533,,BLOCKER,Tclin,Homo sapiens
verapamil,2815,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,8.0,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1280,,,Tclin,Homo sapiens
clemastine,671,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,7.9208,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
lidoflazine,1580,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,7.8,,IC50,Inhibitory concentration against potassium channel HERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL92870,,,Tclin,Homo sapiens
tolterodine,2705,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,7.77,,IC50,Inhibitory concentration against potassium channel HERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1382,,,Tclin,Homo sapiens
pimozide,2172,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,7.7447,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
haloperidol,1353,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,7.5,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
droperidol,966,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,7.49,,IC50,Inhibition of human Potassium channel HERG expressed in mammalian cells,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1108,,,Tclin,Homo sapiens
febuxostat,1137,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,7.44,,EC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
benzamycin,3875,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,7.41,,IC50,Inhibition of human ERG expressed in HEK cells,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL532,,,Tclin,Homo sapiens
erythromycin,1048,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,7.41,,IC50,Inhibition of human ERG expressed in HEK cells,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL532,,,Tclin,Homo sapiens
terfenadine,2600,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,7.2518,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
benzethonium,3018,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,7.051098239,,Ki,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens
ifenprodil,1419,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,7.0,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL305187,,,Tclin,Homo sapiens
thioridazine,2637,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,7.0,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
azelastine,271,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,7.0,,IC50,Displacement of labeled dofetilide human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL639,,,Tclin,Homo sapiens
ketanserin,1524,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.97,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
ziprasidone,2865,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.92,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
pergolide,2105,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.92,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL531,,,Tclin,Homo sapiens
domperidone,945,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.7905,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
risperidone,2389,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.7878,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
loratadine,1605,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.77,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
clomifene,700,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.7447,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
olanzapine,1982,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.74,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
mibefradil,1797,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.72,,Ki,Binding affinity at hERG expressed in HEK293 cells by fluorescence polarization assay,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL45816,,,Tclin,Homo sapiens
amsacrine,203,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.68,,IC50,Inhibition of human ERG potassium channel,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL43,,,Tclin,Homo sapiens
clozapine,722,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.6,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
ebastine,977,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.55,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
dronedarone,4112,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.5,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL184412,,,Tclin,Homo sapiens
mesoridazine,1712,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.5,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1088,,,Tclin,Homo sapiens
pethidine,1690,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.49,,IC50,Inhibitory concentration against potassium channel HERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL607,,,Tclin,Homo sapiens
quinidine,2346,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.49,,IC50,Inhibition of human Potassium channel HERG expressed in mammalian cells,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1294,,,Tclin,Homo sapiens
carvedilol,522,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.46,,IC50,Inhibitory concentration against IKr potassium channel,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL723,,,Tclin,Homo sapiens
mizolastine,1824,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.4559,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
azimilide,274,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.4,,IC50,Inhibitory concentration against IKr potassium channel,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL123558,,,Tclin,Homo sapiens
flunarizine,1200,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.304255725,,Ki,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens
terodiline,2603,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.3,,IC50,Inhibitory concentration against IKr potassium channel,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL363295,,,Tclin,Homo sapiens
sunitinib,2544,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.3,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL535,,,Tclin,Homo sapiens
bepridil,342,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.26,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
doxazosin,954,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.23,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
clebopride,670,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.22,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL325109,,,Tclin,Homo sapiens
aripiprazole,242,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.22,,Ki,Displacement of [3H]dofetilide from human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1112,,,Tclin,Homo sapiens
fluoxetine,1209,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.1549,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
propafenone,2291,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.0969,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
ondansetron,1992,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.0915,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
budipine,420,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.07,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL334491,,,Tclin,Homo sapiens
brompheniramine,408,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.05,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL811,,,Tclin,Homo sapiens
tacrolimus,2552,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,6.0,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
mepyramine,2331,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.96,,IC50,Inhibitory concentration against IKr potassium channel,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL511,,,Tclin,Homo sapiens
vesnarinone,2817,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.96,,IC50,Inhibition of human Potassium channel HERG expressed in mammalian cells,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL17423,,,Tclin,Homo sapiens
chlorphenamine,616,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.96,,IC50,Inhibitory concentration against IKr potassium channel,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL505,,,Tclin,Homo sapiens
protriptyline,2320,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.9281,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
imipramine,1427,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.9,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
