DRUG_NAME,STRUCT_ID,TARGET_NAME,TARGET_CLASS,ACCESSION,GENE,SWISSPROT,ACT_VALUE,ACT_UNIT,ACT_TYPE,ACT_COMMENT,ACT_SOURCE,RELATION,MOA,MOA_SOURCE,ACT_SOURCE_URL,MOA_SOURCE_URL,ACTION_TYPE,TDL,ORGANISM
ceritinib,4866,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.9,,IC50,Inhibition of human ERG by dofetilide binding assay,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL2403108,,,Tclin,Homo sapiens
paliperidone palmitate,4498,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.89,,IC50,Inhibition of human ERG channel,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL2107360,,,Tclin,Homo sapiens
paliperidone,4137,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.89,,IC50,Inhibition of human ERG channel,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1621,,,Tclin,Homo sapiens
desipramine,812,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.86,,Ki,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
chlorpromazine,621,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.83,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
arsenic trioxide,244,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.824,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
prochlorperazine,2274,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.819845441,,Ki,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens
prazosin,4209,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.8,,IC50,Inhibitory concentration against potassium channel HERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL2,,,Tclin,Homo sapiens
tamoxifen,2561,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.8,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL83,,,Tclin,Homo sapiens
betrixaban,5241,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.75,,Ki,Binding affinity to human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL512351,,,Tclin,Homo sapiens
fentanyl,1164,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.74,,IC50,Inhibitory concentration against potassium channel HERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL596,,,Tclin,Homo sapiens
ketoconazole,1527,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.72,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
donepezil,946,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.7,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL502,,,Tclin,Homo sapiens
atomoxetine,256,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.68,,IC50,Inhibition of human ERG expressed in HEK293 cells by patch-clamp method,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL641,,,Tclin,Homo sapiens
acetylmethadol,1729,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.66,,IC50,Inhibitory concentration against potassium channel HERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL170179,,,Tclin,Homo sapiens
levomethadyl acetate,1571,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.65999984741211,,IC50,,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1514,,,Tclin,Homo sapiens
alosetron,129,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.64,,IC50,Inhibition of human ERG expressed in HEK cells by patch clamp technique,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1110,,,Tclin,Homo sapiens
fluspirilene,1222,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.64,,IC50,Inhibitory concentration against IKr potassium channel,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL46516,,,Tclin,Homo sapiens
amodiaquine,186,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.62,,IC50,Inhibition of human cloned ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL682,,,Tclin,Homo sapiens
chloroquine,607,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.6,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
diphenhydramine,916,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.59,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL657,,,Tclin,Homo sapiens
rimonabant,4150,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.55,,IC50,Inhibition of human ERG expressed in HEK293 cells assessed as inhibition of potassium channel current after 5 mins by patch clamp assay,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL111,,,Tclin,Homo sapiens
trazodone,2717,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.54,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
mitoxantrone,1821,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.532096053,,Ki,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens
clotrimazole,719,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.52,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL104,,,Tclin,Homo sapiens
sildenafil,2441,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.48,,IC50,Inhibition of human Potassium channel HERG expressed in mammalian cells,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL192,,,Tclin,Homo sapiens
perphenazine,2113,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.461665093,,Ki,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens
granisetron,1329,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.4283,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
flecainide,1176,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.41,,IC50,Inhibition of human Potassium channel HERG expressed in mammalian cells,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL652,,,Tclin,Homo sapiens
citalopram,663,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.4,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
buspirone,437,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.4,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL49,,,Tclin,Homo sapiens
fluphenazine,1212,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.330255545,,Ki,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens
mosapride,1848,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.32,,IC50,Inhibition of human ERG expressed in HEK293 cells by whole cell patch clamp method,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL60889,,,Tclin,Homo sapiens
myrtecaine,3787,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.31554065,,Ki,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens
caffeine,463,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.31,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL113,,,Tclin,Homo sapiens
trifluoperazine,2740,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.292361705,,Ki,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens
mefloquine,1665,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.25,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
quetiapine,2337,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.24,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL716,,,Tclin,Homo sapiens
dolasetron,3931,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.2255,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
orphenadrine,1999,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.1739,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
sertraline,2436,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.166591497,,Ki,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens
papaverine,2056,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.14,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL19224,,,Tclin,Homo sapiens
cocaine,723,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.14,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
halofantrine,1350,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.12,,Ki,Inhibition of human ERG expressed in CHO cells,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1107,,,Tclin,Homo sapiens
perhexiline,2106,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.11,,IC50,Inhibition of human Potassium channel HERG expressed in mammalian cells,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL75880,,,Tclin,Homo sapiens
buprenorphine,434,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.1,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL511142,,,Tclin,Homo sapiens
lumefantrine,1617,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.09,,IC50,Inhibitory concentration against IKr potassium channel,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL38827,,,Tclin,Homo sapiens
lopinavir,1601,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.07,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL729,,,Tclin,Homo sapiens
paroxetine,2068,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.068313346,,Ki,DRUGMATRIX: Potassium Channel HERG radioligand binding (ligand: [3H] Astemizole),DRUG MATRIX,=,,,,,,Tclin,Homo sapiens
cibenzoline,630,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.06,,IC50,Inhibitory concentration against IKr potassium channel,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL87045,,,Tclin,Homo sapiens
methadone,1728,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.01,,IC50,Inhibitory concentration against potassium channel HERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL651,,,Tclin,Homo sapiens
ouabain,2004,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.0088,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
amiodarone,176,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.0,,IC50,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL633,BLOCKER,Tclin,Homo sapiens
mexiletine,1794,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.0,,IC50,Inhibition of human ERG,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL558,,,Tclin,Homo sapiens
nifekalant,1923,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.0,,IC50,Inhibitory concentration against IKr potassium channel,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL360861,,,Tclin,Homo sapiens
nitrendipine,1947,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.0,,IC50,Inhibition of human Potassium channel HERG expressed in mammalian cells,CHEMBL,=,,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL475534,,,Tclin,Homo sapiens
amitriptyline,180,Potassium voltage-gated channel subfamily H member 2,Ion channel,Q12809,KCNH2,KCNH2_HUMAN,5.0,,IC50,,WOMBAT-PK,=,,,,,,Tclin,Homo sapiens
